Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2021,"Cody Bellinger","LAD",337,0.09198813,0.2611276,0.35227273,0.1589404,0.23738872,0.29139073,0.52877945,0.13245033,0.1875,17.942603428658714,-22.889735388758908,0.23213523466195632,45.25017166703915,15998
2021,"Austin Slater","SFG",299,0.09364548,0.28093645,0.33333333,0.23220974,0.31438127,0.4082397,0.72262097,0.17602996,0.29651163,35.80110759038282,-0.42699124168800484,0.3125142481190588,97.42573754225371,16153
2021,"J.D. Davis","NYM",211,0.11374408,0.32227488,0.35294118,0.2849162,0.38388626,0.43575419,0.81964045,0.15083799,0.42592593,33.105553078620574,7.539904738931795,0.3574365241186959,129.86186485888422,16219
2021,"Bradley Zimmer","CLE",317,0.09463722,0.3533123,0.26785714,0.22509225,0.33123028,0.33579336,0.66702364,0.11070111,0.35064935,35.08843819991533,-3.3206164146881916,0.301578009166176,89.59640320976567,16221
2021,"Trea Turner","2 Tms",607,0.06425041,0.17133443,0.375,0.32078853,0.36902801,0.50358423,0.87261224,0.1827957,0.36009174,102.77546325371696,29.228787698308956,0.37247364434472013,133.02827322325936,16252
2021,"Nick Gordon","MIN",189,0.05820106,0.25396825,0.22916667,0.26285714,0.31746032,0.39428571,0.71174603,0.13142857,0.34146341,22.306447755940482,-0.5935879606527811,0.31044401441301617,95.78515344275728,16337
2021,"Oscar Mercado","CLE",208,0.09134615,0.16826923,0.54285714,0.21925134,0.29807692,0.37433155,0.67240847,0.15508021,0.23972603,21.879294239114547,-3.322861470152115,0.29492932156874585,85.11295729926852,16375
2021,"Michael Conforto","NYM",445,0.12359551,0.22022472,0.56122449,0.22340426,0.33932584,0.36702128,0.70634712,0.14361702,0.26865672,53.928688825316364,0.010615312702588404,0.31426935109812304,101.81394869019982,16376
2021,"Francisco Mejia","TBR",257,0.05058366,0.17898833,0.2826087,0.24786325,0.3046875,0.41025641,0.71494391,0.16239316,0.2826087,29.888813874850616,-1.2503881313105973,0.30835923412814736,100.08004237066731,16403
2021,"Sergio Alcantara","CHC",219,0.12785388,0.28310502,0.4516129,0.19892473,0.30733945,0.30645161,0.61379106,0.10752688,0.27642276,19.271301400515775,-7.263660620298643,0.2741472296140812,68.51387291353191,16417
2021,"Jordan Luplow","2 Tms",190,0.14736842,0.28947368,0.50909091,0.2,0.32631579,0.45,0.77631579,0.25,0.22340426,26.476328205192445,3.455128278458471,0.3362226969317386,115.10510563774916,16424
2021,"Christian Arroyo","BOS",177,0.03954802,0.24293785,0.1627907,0.26086957,0.32,0.44720497,0.76720497,0.1863354,0.32142857,23.90636047403956,2.4602952791347565,0.33104302610669817,105.55752031225427,16434
2021,"Ryan O'Hearn","KCR",247,0.048583,0.27935223,0.17391304,0.2173913,0.25910931,0.36521739,0.6243267,0.14782609,0.26451613,20.60403144144879,-9.32352846330537,0.2686112404834886,66.11900386935707,16442
2021,"Rhys Hoskins","PHI",443,0.10609481,0.24379233,0.43518519,0.24678663,0.33408578,0.52956298,0.86364876,0.28277635,0.26953125,72.09038382434422,18.414638732011852,0.3644886210594436,127.02441696542834,16472
2021,"Kyle Schwarber","2 Tms",440,0.12727273,0.275,0.46280992,0.26595745,0.36818182,0.56117021,0.92935203,0.29521276,0.30530973,81.3356591982149,28.023406736304665,0.39125544226522596,144.66864999118923,16478
2021,"Matt Chapman","OAK",592,0.12837838,0.31925676,0.4021164,0.21868787,0.32094595,0.42147117,0.74241712,0.2027833,0.28040541,75.09784872551484,3.3686363222174114,0.3211189977623321,106.9325234045074,16505
2021,"Isiah Kiner-Falefa","TEX",643,0.03888025,0.13685848,0.28409091,0.27152318,0.31152648,0.35761589,0.66914237,0.08609271,0.3072407,66.21231191999578,-11.696275200477606,0.2922519534826279,84.8987599518955,16512
